ID_Pago,ID_Poliza,Fecha_Pago,Monto_Pago,Estado_Pago,Metodo_Pago
PAG-00001,POL-0001,2023-11-25,193.08,Completado,Tarjeta
PAG-00002,POL-0001,2023-12-25,193.08,Completado,Efectivo
PAG-00003,POL-0001,2024-01-24,193.08,Completado,Tarjeta
PAG-00004,POL-0001,2024-02-23,193.08,Pendiente,Transferencia
PAG-00005,POL-0001,2024-03-24,193.08,Completado,Efectivo
PAG-00006,POL-0001,2024-04-23,193.08,Completado,Transferencia
PAG-00007,POL-0001,2024-05-23,193.08,Completado,Tarjeta
PAG-00008,POL-0001,2024-06-22,193.08,Completado,Tarjeta
PAG-00009,POL-0001,2024-07-22,193.08,Pendiente,Transferencia
PAG-00010,POL-0001,2024-08-21,193.08,Completado,Tarjeta
PAG-00011,POL-0001,2024-09-20,193.08,Completado,Tarjeta
PAG-00012,POL-0001,2024-10-20,193.08,Completado,Efectivo
PAG-00013,POL-0001,2024-11-19,193.08,Pendiente,Transferencia
PAG-00014,POL-0002,2025-04-24,222.3,Completado,Efectivo
PAG-00015,POL-0002,2025-05-24,222.3,Completado,Transferencia
PAG-00016,POL-0002,2025-06-23,222.3,Completado,Tarjeta
PAG-00017,POL-0002,2025-07-23,222.3,Completado,Efectivo
PAG-00018,POL-0002,2025-08-22,222.3,Completado,Transferencia
PAG-00019,POL-0002,2025-09-21,222.3,Completado,Tarjeta
PAG-00020,POL-0002,2025-10-21,222.3,Pendiente,Tarjeta
PAG-00021,POL-0003,2024-11-28,83.98,Completado,Efectivo
PAG-00022,POL-0003,2024-12-28,83.98,Completado,Efectivo
PAG-00023,POL-0003,2025-01-27,83.98,Completado,Efectivo
PAG-00024,POL-0003,2025-02-26,83.98,Completado,Efectivo
PAG-00025,POL-0003,2025-03-28,83.98,Completado,Tarjeta
PAG-00026,POL-0003,2025-04-27,83.98,Completado,Transferencia
PAG-00027,POL-0003,2025-05-27,83.98,Completado,Tarjeta
PAG-00028,POL-0003,2025-06-26,83.98,Completado,Efectivo
PAG-00029,POL-0003,2025-07-26,83.98,Completado,Tarjeta
PAG-00030,POL-0003,2025-08-25,83.98,Pendiente,Tarjeta
PAG-00031,POL-0003,2025-09-24,83.98,Completado,Tarjeta
PAG-00032,POL-0004,2025-08-27,249.33,Completado,Tarjeta
PAG-00033,POL-0004,2025-09-26,249.33,Completado,Transferencia
PAG-00034,POL-0005,2025-01-28,143.43,Completado,Efectivo
PAG-00035,POL-0005,2025-02-27,143.43,Completado,Transferencia
PAG-00036,POL-0005,2025-03-29,143.43,Completado,Tarjeta
PAG-00037,POL-0005,2025-04-28,143.43,Completado,Transferencia
PAG-00038,POL-0005,2025-05-28,143.43,Completado,Efectivo
PAG-00039,POL-0005,2025-06-27,143.43,Completado,Tarjeta
PAG-00040,POL-0005,2025-07-27,143.43,Completado,Transferencia
PAG-00041,POL-0005,2025-08-26,143.43,Completado,Efectivo
PAG-00042,POL-0005,2025-09-25,143.43,Completado,Tarjeta
PAG-00043,POL-0006,2024-03-03,115.53,Completado,Efectivo
PAG-00044,POL-0006,2024-04-02,115.53,Completado,Tarjeta
PAG-00045,POL-0006,2024-05-02,115.53,Completado,Efectivo
PAG-00046,POL-0006,2024-06-01,115.53,Completado,Tarjeta
PAG-00047,POL-0006,2024-07-01,115.53,Completado,Transferencia
PAG-00048,POL-0006,2024-07-31,115.53,Pendiente,Transferencia
PAG-00049,POL-0006,2024-08-30,115.53,Completado,Efectivo
PAG-00050,POL-0006,2024-09-29,115.53,Completado,Transferencia
PAG-00051,POL-0006,2024-10-29,115.53,Completado,Transferencia
PAG-00052,POL-0006,2024-11-28,115.53,Pendiente,Transferencia
PAG-00053,POL-0006,2024-12-28,115.53,Completado,Transferencia
PAG-00054,POL-0006,2025-01-27,115.53,Completado,Efectivo
PAG-00055,POL-0006,2025-02-26,115.53,Completado,Efectivo
PAG-00056,POL-0007,2024-12-19,207.11,Completado,Tarjeta
PAG-00057,POL-0007,2025-01-18,207.11,Pendiente,Tarjeta
PAG-00058,POL-0007,2025-02-17,207.11,Completado,Transferencia
PAG-00059,POL-0007,2025-03-19,207.11,Completado,Efectivo
PAG-00060,POL-0007,2025-04-18,207.11,Completado,Transferencia
PAG-00061,POL-0007,2025-05-18,207.11,Completado,Efectivo
PAG-00062,POL-0007,2025-06-17,207.11,Completado,Efectivo
PAG-00063,POL-0007,2025-07-17,207.11,Completado,Efectivo
PAG-00064,POL-0007,2025-08-16,207.11,Completado,Efectivo
PAG-00065,POL-0007,2025-09-15,207.11,Completado,Tarjeta
PAG-00066,POL-0007,2025-10-15,207.11,Completado,Efectivo
PAG-00067,POL-0008,2025-06-25,205.87,Completado,Tarjeta
PAG-00068,POL-0008,2025-07-25,205.87,Completado,Efectivo
PAG-00069,POL-0008,2025-08-24,205.87,Completado,Transferencia
PAG-00070,POL-0008,2025-09-23,205.87,Completado,Tarjeta
PAG-00071,POL-0009,2025-08-11,206.27,Completado,Tarjeta
PAG-00072,POL-0009,2025-09-10,206.27,Completado,Tarjeta
PAG-00073,POL-0009,2025-10-10,206.27,Pendiente,Efectivo
PAG-00074,POL-0011,2024-05-08,133.27,Completado,Transferencia
PAG-00075,POL-0011,2024-06-07,133.27,Completado,Tarjeta
PAG-00076,POL-0011,2024-07-07,133.27,Completado,Transferencia
PAG-00077,POL-0011,2024-08-06,133.27,Completado,Tarjeta
PAG-00078,POL-0011,2024-09-05,133.27,Completado,Transferencia
PAG-00079,POL-0011,2024-10-05,133.27,Pendiente,Tarjeta
PAG-00080,POL-0011,2024-11-04,133.27,Completado,Efectivo
PAG-00081,POL-0011,2024-12-04,133.27,Completado,Efectivo
PAG-00082,POL-0011,2025-01-03,133.27,Completado,Transferencia
PAG-00083,POL-0011,2025-02-02,133.27,Completado,Tarjeta
PAG-00084,POL-0011,2025-03-04,133.27,Completado,Efectivo
PAG-00085,POL-0011,2025-04-03,133.27,Completado,Efectivo
PAG-00086,POL-0011,2025-05-03,133.27,Completado,Transferencia
PAG-00087,POL-0012,2025-02-10,26.49,Completado,Transferencia
PAG-00088,POL-0012,2025-03-12,26.49,Completado,Transferencia
PAG-00089,POL-0012,2025-04-11,26.49,Completado,Transferencia
PAG-00090,POL-0012,2025-05-11,26.49,Completado,Tarjeta
PAG-00091,POL-0012,2025-06-10,26.49,Completado,Efectivo
PAG-00092,POL-0012,2025-07-10,26.49,Completado,Efectivo
PAG-00093,POL-0012,2025-08-09,26.49,Completado,Tarjeta
PAG-00094,POL-0012,2025-09-08,26.49,Completado,Tarjeta
PAG-00095,POL-0012,2025-10-08,26.49,Completado,Efectivo
PAG-00096,POL-0013,2025-08-13,59.54,Pendiente,Transferencia
PAG-00097,POL-0013,2025-09-12,59.54,Completado,Efectivo
PAG-00098,POL-0013,2025-10-12,59.54,Completado,Tarjeta
PAG-00099,POL-0014,2025-04-22,110.86,Pendiente,Transferencia
PAG-00100,POL-0014,2025-05-22,110.86,Completado,Tarjeta
PAG-00101,POL-0014,2025-06-21,110.86,Completado,Efectivo
PAG-00102,POL-0014,2025-07-21,110.86,Completado,Efectivo
PAG-00103,POL-0014,2025-08-20,110.86,Pendiente,Tarjeta
PAG-00104,POL-0014,2025-09-19,110.86,Completado,Transferencia
